Accession,lat,lng
Acc_0544,16.2667,-89.45
Acc_0545,4.345152,-74.361823
Acc_0546,10.720918,-85.01374
Acc_0547,17.049173,-89.067382
Acc_0548,-8.836281,-75.06104
Acc_0549,-24.098292,-64.445937
Acc_0550,-0.919492,-75.260372
Acc_0551,10.711199,-84.988217
Acc_0552,1.352083,103.819836
Acc_0553,21.501171,-158.020923
Acc_0554,10.720918,-85.01374
Acc_0555,13.304688,-86.431205
Acc_0556,-19.905981,-40.562153
Acc_0557,9.15,-79.849998
Acc_0558,10.9,-80.279999
Acc_0559,10.78,-85.349998
Acc_0560,10.88,-85.470001
Acc_0561,10.78,-85.349998
Acc_0562,10.77,-85.279999
Acc_0563,10.84,-85.610001
Acc_0564,10.84,-85.610001
Acc_0565,10.88,-85.389999
Acc_0566,10.88,-85.389999
Acc_0567,10.77,-85.279999
Acc_0568,10.88,-85.389999
Acc_0569,10.9,-80.279999
Acc_0570,10.77,-85.279999
Acc_0571,-26.28,-48.961944
Acc_0572,-26.220833,-49.053611
Acc_0573,1.348089,103.763789
Acc_0574,15.701852,-87.472518
Acc_0575,16.078956,-89.345089
Acc_0576,15.665794,-88.781914
Acc_0577,15.760612,-90.738581
Acc_0578,15.074167,-89.700833
Acc_0579,14.58252,-90.49091
Acc_0580,14.656826,-91.531292
Acc_0581,15.1217,-89.544612
Acc_0582,15.672461,-88.78925
Acc_0583,-19.970556,-40.140555
Acc_0584,-18.869167,-40.950556
Acc_0585,-20.643333,-41.838889
Acc_0586,-18.668611,-39.801944
Acc_0587,-20.303056,-40.509444
Acc_0588,-20.923611,-40.809167
Acc_0589,-20.848889,-41.112778
Acc_0590,-23.7,-45.42
Acc_0591,-23.42,-45.42
Acc_0592,-22.23,-42.29
Acc_0593,-23.42,-45.42
Acc_0594,-23.44,-45.32
Acc_0595,-23.42,-45.42
Acc_0596,-24.18,-48.21
Acc_0597,-22.22,-42.31
Acc_0598,-22.24,-42.3
Acc_0599,-23.42,-45.42
Acc_0600,-23.45,-45.36
Acc_0601,-23.42,-45.42
Acc_0602,-27.263611,-49.115278
Acc_0603,33.787453,-118.114463
Acc_0604,-24.839722,-48.673611
Acc_0605,-22.331944,-42.719444
Acc_0606,-22.466667,-43.019444
Acc_0607,-26.28,-48.961944
Acc_0608,-26.879167,-49.3925
Acc_0609,-26.368056,-49.139722
Acc_0610,-28.549167,-49.6
Acc_0611,-27.028889,-48.5825
Acc_0612,-29.196667,-49.950278
Acc_0613,-14.85889,-40.04889
Acc_0614,14.050195,-86.560419
Acc_0615,5.244233,-72.625361
